Perusahaan,Produk,Kalori,Kalori dari Lemak,Total Lemak,Lemak Jenuh (g),Lemak tak Jenuh (g),Kolestrol (mg),Sodium (mg),Karbohidrat (g),Serat (g),Gula (g),Protein (g),WW Poin
McDollops,Big Breakfast® (Large Size Biscuit),800.0,470.0,52.0,18.0,0.0,555.0,1680.0,56.0,4.0,3.0,28.0,793.0
McDollops,Big Breakfast with Hotcakes (Regular Size Biscuit),1090.0,510.0,56.0,19.0,0.0,575.0,2150.0,111.0,6.0,17.0,36.0,1090.0
McDollops,Big Breakfast with Hotcakes (Large Size Biscuit),1150.0,540.0,60.0,20.0,0.0,575.0,2260.0,116.0,7.0,17.0,36.0,1151.0
McDollops,Sausage Burrito,300.0,140.0,16.0,7.0,0.0,115.0,830.0,26.0,1.0,2.0,12.0,297.0
McDollops,McSkillet™ Burrito with Sausage,610.0,320.0,36.0,14.0,0.5,410.0,1390.0,44.0,3.0,4.0,27.0,601.0
McDollops,Hotcakes,350.0,80.0,9.0,2.0,0.0,20.0,590.0,60.0,3.0,14.0,8.0,358.0
McDollops,Hotcakes and Sausage,520.0,210.0,24.0,7.0,0.0,50.0,930.0,61.0,3.0,14.0,15.0,526.0
McDollops,Hotcake Syrup,180.0,0.0,0.0,0.0,0.0,0.0,20.0,45.0,0.0,32.0,0.0,212.0
McDollops,Whipped Margarine (1 pat),40.0,40.0,4.5,1.5,0.0,0.0,55.0,0.0,0.0,0.0,0.0,41.5
McDollops,Hash Brown,150.0,80.0,9.0,1.5,0.0,0.0,310.0,15.0,2.0,0.0,1.0,150.5
McDollops,Grape Jam,35.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,44.0
McDollops,Strawberry Preserves,35.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,44.0
McDollops,"Bacon, Egg & Cheese Bagel",560.0,240.0,27.0,9.0,0.5,260.0,1300.0,56.0,3.0,7.0,24.0,552.0
McDollops,Fruit & Maple Oatmeal,290.0,40.0,4.5,2.0,0.0,10.0,160.0,57.0,5.0,32.0,5.0,319.0
McDollops,Fruit & Maple Oatmeal without Brown Sugar,260.0,40.0,4.5,2.0,0.0,10.0,115.0,48.0,5.0,18.0,5.0,275.0
McDollops,Hamburger Happy Meal,475.0,117.55555555555556,16.0,4.066790352504638,0.0,40.0,690.0,62.0,2.0,20.0,22.0,310.27054794520546
McDollops,4 Piece Chicken McNuggets Happy Meal,395.0,117.55555555555556,17.0,3.5,0.0,35.0,510.0,41.0,1.0,14.0,19.0,310.27054794520546
McDollops,6 Piece Chicken McNuggets® Happy Meal,475.0,117.55555555555556,22.0,4.5,0.0,50.0,680.0,46.0,2.0,14.0,24.0,310.27054794520546
McDollops,Fruit ‘n Yogurt Parfait (7 oz),160.0,20.0,2.0,1.0,0.0,5.0,85.0,31.0,1.0,21.0,4.0,178.0
McDollops,Low Fat Caramel Dip,70.0,5.0,0.5,0.0,0.0,5.0,35.0,15.0,0.0,9.0,0.0,79.0
McDollops,Vanilla Reduced Fat Ice Cream Cone,150.0,35.0,3.5,2.0,0.0,15.0,60.0,24.0,0.0,18.0,4.0,166.0
McDollops,Kiddie Cone,45.0,10.0,1.0,0.5,0.0,5.0,20.0,8.0,0.0,6.0,1.0,50.5
McDollops,Strawberry Sundae,280.0,60.0,6.0,4.0,0.0,25.0,95.0,49.0,1.0,45.0,6.0,323.0
McDollops,Hot Caramel Sundae,340.0,70.0,8.0,5.0,0.0,30.0,160.0,60.0,1.0,44.0,7.0,382.0
McDollops,Hot Fudge Sundae,330.0,90.0,10.0,7.0,0.0,25.0,180.0,54.0,2.0,48.0,8.0,377.0
